
PHP CODE SNIFFER REPORT SUMMARY
--------------------------------------------------------------------------------
FILE                                                            ERRORS  WARNINGS
--------------------------------------------------------------------------------
/Volumes/Anders/Workspace/Glucose/Glucose/Column.class.php      226     4
.../Workspace/Glucose/Glucose/Constraints/Constraint.class.php  109     3
.../Glucose/Glucose/Constraints/ForeignKeyConstraint.class.php  20      3
.../Glucose/Glucose/Constraints/PrimaryKeyConstraint.class.php  22      3
...pace/Glucose/Glucose/Constraints/UniqueConstraint.class.php  67      5
/Volumes/Anders/Workspace/Glucose/Glucose/Entity.class.php      274     22
...tions/Entity/DatabaseConstraintCollisionException.class.php  7       0
...Glucose/Glucose/Exceptions/Entity/EntityException.class.php  10      0
.../Glucose/Exceptions/Entity/EntityPointerException.class.php  17      1
...cose/Exceptions/Entity/InvalidIdentifierException.class.php  7       0
...ceptions/Entity/ModelConstraintCollisionException.class.php  7       0
...space/Glucose/Glucose/Exceptions/GlucoseException.class.php  7       0
...Exceptions/MySQL/Client/MySQLClientErrorException.class.php  38      2
...Glucose/Exceptions/MySQL/MySQLConnectionException.class.php  17      1
...cose/Glucose/Exceptions/MySQL/MySQLErrorException.class.php  49      2
...e/Glucose/Glucose/Exceptions/MySQL/MySQLException.class.php  19      1
...se/Exceptions/MySQL/Server/MySQLBadFieldException.class.php  18      1
...ose/Exceptions/MySQL/Server/MySQLBadNullException.class.php  18      1
...eptions/MySQL/Server/MySQLDuplicateEntryException.class.php  8       0
...Exceptions/MySQL/Server/MySQLServerErrorException.class.php  54      6
...xceptions/MySQL/Server/MySQLUnknownErrorException.class.php  18      1
...e/Glucose/Exceptions/Table/InvalidColumnException.class.php  7       0
...Exceptions/Table/InvalidUniqueConstraintException.class.php  17      1
...ptions/Table/MissingPrimaryKeyConstraintException.class.php  17      1
...se/Glucose/Exceptions/Table/MissingTableException.class.php  8       0
...e/Glucose/Exceptions/Table/NoAffectedRowException.class.php  7       0
...e/Glucose/Glucose/Exceptions/Table/TableException.class.php  20      1
...cose/Exceptions/User/ConstructorArgumentException.class.php  17      1
...se/Glucose/Exceptions/User/EntityDeletedException.class.php  7       0
...lucose/Exceptions/User/IllegalMethodCallException.class.php  17      1
...Exceptions/User/IncompleteUniqueValueSetException.class.php  17      1
...cose/Exceptions/User/PrimaryKeyCollisionException.class.php  7       0
.../Glucose/Exceptions/User/UndefinedEntityException.class.php  7       0
...e/Glucose/Exceptions/User/UndefinedFieldException.class.php  17      1
...cose/Exceptions/User/UndefinedPrimaryKeyException.class.php  17      1
...se/Exceptions/User/UndefinedUniqueValuesException.class.php  17      1
...lucose/Exceptions/User/UniqueConstraintInitFailed.class.php  17      1
...ace/Glucose/Glucose/Exceptions/User/UserException.class.php  19      1
/Volumes/Anders/Workspace/Glucose/Glucose/Field.class.php       236     5
/Volumes/Anders/Workspace/Glucose/Glucose/Inflector.class.php   754     30
/Volumes/Anders/Workspace/Glucose/Glucose/Model.class.php       523     42
/Volumes/Anders/Workspace/Glucose/Glucose/Table.class.php       623     86
--------------------------------------------------------------------------------
A TOTAL OF 3383 ERROR(S) AND 230 WARNING(S) WERE FOUND IN 42 FILE(S)
--------------------------------------------------------------------------------

